Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	90164	2244	39	24887	432	2.4	78.6	
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246794	5326	99	21580	401	4.3	62.2	
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	216530	5635	99	26024	457	5.2	73.3	22.7
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	80196	1808	23	22544	286	0.0	88.0	
Dithmarschen (Kreis)	Schleswig-Holstein	133193	1945	47	14602	352	7.9	92.1	
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	198019	5089	109	25699	550	5.3	89.5	
Nordfriesland (Kreis)	Schleswig-Holstein	165951	2678	80	16137	482	0.0	66.7	
Ostholstein (Kreis)	Schleswig-Holstein	200539	3312	84	16515	418	2.0	84.3	
Pinneberg (Kreis)	Schleswig-Holstein	316103	10307	358	32606	1132	6.5	96.8	
Plön (Kreis)	Schleswig-Holstein	128686	1343	31	10436	240	33.3	75.0	
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	274098	4010	55	14629	200	2.4	73.8	
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	201156	2857	61	14202	303	0.0	87.5	
Segeberg (Kreis)	Schleswig-Holstein	277175	6751	158	24356	570	2.3	70.9	
Steinburg (Kreis)	Schleswig-Holstein	131013	2325	37	17746	282	2.3	60.5	
Stormarn (Kreis)	Schleswig-Holstein	244156	6888	296	28211	1212	10.0	73.3	
Regionalverband Saarbrücken (Landkreis)	Saarland	328714	15402	458	46855	1393	10.4	83.0	
Merzig-Wadern (Landkreis)	Saarland	103243	3422	58	33145	561	16.7	58.3	
Neunkirchen (Landkreis)	Saarland	131408	5333	112	40583	852	6.1	72.7	
Saarlouis (Landkreis)	Saarland	194319	8364	149	43042	766	8.5	69.5	
Saarpfalz-Kreis (Landkreis)	Saarland	142196	4695	109	33017	766	8.2	81.0	
St. Wendel (Landkreis)	Saarland	87007	3188	110	36640	1264	7.1	71.4	
Berlin Reinickendorf (Bezirk)	Berlin	259689	13714	287	52809	1105	15.6	85.0	
Berlin Charlottenburg-Wilmersdorf (Bezirk)	Berlin	334401	15047	277	44996	828	15.6	85.0	
Berlin Treptow-Köpenick (Bezirk)	Berlin	266488	9732	212	36519	795	15.6	85.0	
Berlin Pankow (Bezirk)	Berlin	398036	15008	212	37705	532	15.6	85.0	
Berlin Neukölln (Bezirk)	Berlin	321123	20800	413	64772	1286	15.6	85.0	
Berlin Lichtenberg (Bezirk)	Berlin	286522	11913	250	41577	872	15.6	85.0	
Berlin Marzahn-Hellersdorf (Bezirk)	Berlin	262967	10818	244	41138	927	15.6	85.0	
Berlin Spandau (Bezirk)	Berlin	239019	13495	253	56459	1058	15.6	85.0	
Berlin Steglitz-Zehlendorf (Bezirk)	Berlin	302177	12599	373	41694	1234	15.6	85.0	
Berlin Mitte (Bezirk)	Berlin	375238	22303	291	59436	775	15.6	85.0	
Berlin Friedrichshain-Kreuzberg (Bezirk)	Berlin	282059	14368	158	50939	560	15.6	85.0	
Berlin Tempelhof-Schöneberg (Bezirk)	Berlin	341772	17382	468	50858	1369	15.6	85.0	
Brandenburg an der Havel (Kreisfreie Stadt)	Brandenburg	72184	2291	82	31738	1135	7.7	78.5	
Cottbus (Kreisfreie Stadt)	Brandenburg	99678	5878	204	58969	2046	10.9	78.2	
Frankfurt (Oder) (Kreisfreie Stadt)	Brandenburg	57751	2219	107	38423	1852	35.7	78.6	
Potsdam (Kreisfreie Stadt)	Brandenburg	180334	7045	239	39066	1325	11.1	81.9	
Barnim (Landkreis)	Brandenburg	185244	6040	221	32605	1193	3.2	85.5	
Dahme-Spreewald (Landkreis)	Brandenburg	170791	6997	246	40968	1440	5.3	97.4	
Elbe-Elster (Landkreis)	Brandenburg	101827	7062	243	69352	2386	11.1	55.6	
Havelland (Landkreis)	Brandenburg	162996	6179	180	37908	1104	14.3	71.4	
Märkisch-Oderland (Landkreis)	Brandenburg	195751	6889	274	35192	1399	21.7	87.0	
Oberhavel (Landkreis)	Brandenburg	212914	8290	267	38935	1254	11.4	85.7	
Oberspreewald-Lausitz (Landkreis)	Brandenburg	109371	7309	264	66827	2413	6.7	100.0	
Oder-Spree (Landkreis)	Brandenburg	178803	8144	308	45547	1722	9.5	73.0	
Ostprignitz-Ruppin (Landkreis)	Brandenburg	98861	4135	151	41826	1527	5.9	90.2	
Potsdam-Mittelmark (Landkreis)	Brandenburg	216566	7807	199	36049	918	10.6	93.9	
Prignitz (Landkreis)	Brandenburg	76158	3217	162	42241	2127	7.1	71.4	
Spree-Neiße (Landkreis)	Brandenburg	113720	7577	187	66628	1644	10.0	75.0	38.9
Teltow-Fläming (Landkreis)	Brandenburg	169997	6779	203	39877	1194	0.0	100.0	
Uckermark (Landkreis)	Brandenburg	118947	3880	161	32619	1353	3.1	71.9	
Rostock (Kreisfreie Stadt)	Mecklenburg-Vorpommern	209191	3081	37	14728	176	8.8	83.2	
Schwerin (Kreisfreie Stadt)	Mecklenburg-Vorpommern	95653	2677	106	27986	1108	2.6	81.8	
Mecklenburgische Seenplatte (Landkreis)	Mecklenburg-Vorpommern	258074	8612	159	33370	616	11.8	90.8	
Rostock (Landkreis)	Mecklenburg-Vorpommern	215794	4464	131	20686	607	12.2	75.6	
Vorpommern-Rügen (Landkreis)	Mecklenburg-Vorpommern	224702	3855	78	17156	347	5.1	76.3	
Nordwestmecklenburg (Landkreis)	Mecklenburg-Vorpommern	157322	3822	83	24294	527	11.8	47.1	
Vorpommern-Greifswald (Landkreis)	Mecklenburg-Vorpommern	235623	9915	270	42079	1145	6.7	83.3	
Ludwigslust-Parchim (Landkreis)	Mecklenburg-Vorpommern	211779	7147	244	33747	1152	8.4	84.9	
Chemnitz (Kreisfreie Stadt)	Sachsen	246334	16832	500	68329	2029	16.8	92.9	
Erzgebirgskreis (Landkreis)	Sachsen	334948	31320	832	93507	2483	48.8	89.0	
Mittelsachsen (Landkreis)	Sachsen	304099	23858	646	78454	2124	30.6	85.7	
Vogtlandkreis (Landkreis)	Sachsen	225997	18747	792	82952	3504	15.9	74.6	
Zwickau (Landkreis)	Sachsen	315002	26407	1000	83831	3174	22.5	85.3	
Dresden (Kreisfreie Stadt)	Sachsen	556780	30181	1074	54206	1928	14.9	81.7	
Bautzen (Landkreis)	Sachsen	299758	26880	883	89672	2945	41.5	76.9	
Görlitz (Landkreis)	Sachsen	252725	20167	1108	79798	4384	25.4	79.4	
Meißen (Landkreis)	Sachsen	241717	17081	586	70665	2424	23.8	84.1	
Sächsische Schweiz-Osterzgebirge (Landkreis)	Sachsen	245586	20241	955	82419	3888	6.2	97.2	
Leipzig (Kreisfreie Stadt)	Sachsen	593145	22010	519	37107	874	11.5	83.2	
Leipzig (Landkreis)	Sachsen	258139	14547	332	56353	1286	10.3	79.3	
Nordsachsen (Landkreis)	Sachsen	197741	13400	332	67765	1678	8.3	73.3	
Dessau-Roßlau (Kreisfreie Stadt)	Sachsen-Anhalt	80103	3241	115	40460	1435	9.5	69.0	
Halle (Saale) (Kreisfreie Stadt)	Sachsen-Anhalt	238762	11525	344	48269	1440	5.0	86.0	
Magdeburg (Kreisfreie Stadt)	Sachsen-Anhalt	237565	6596	147	27765	618	4.8	90.0	
Altmarkkreis Salzwedel (Landkreis)	Sachsen-Anhalt	83173	2406	77	28927	925	13.3	60.0	
Anhalt-Bitterfeld (Landkreis)	Sachsen-Anhalt	158486	6708	163	42325	1028	12.1	66.7	
Börde (Landkreis)	Sachsen-Anhalt	170923	5969	137	34922	801	14.3	57.1	
Burgenlandkreis (Landkreis)	Sachsen-Anhalt	178846	12929	587	72291	3282	9.4	93.8	
Harz (Landkreis)	Sachsen-Anhalt	213310	8607	269	40349	1261	6.9	79.3	
Jerichower Land (Landkreis)	Sachsen-Anhalt	89589	3348	154	37370	1718	21.7	100.0	
Mansfeld-Südharz (Landkreis)	Sachsen-Anhalt	134942	6306	213	46731	1578	19.2	80.8	
Saalekreis (Landkreis)	Sachsen-Anhalt	183815	9908	320	53902	1740	22.7	81.8	
Salzlandkreis (Landkreis)	Sachsen-Anhalt	189125	8791	312	46482	1649	24.3	89.2	
Stendal (Landkreis)	Sachsen-Anhalt	111190	4697	173	42243	1555	12.5	83.3	
Wittenberg (Landkreis)	Sachsen-Anhalt	124953	6595	268	52779	2144	9.4	71.9	
Erfurt (Kreisfreie Stadt)	Thüringen	213981	8472	262	39592	1224	18.9	86.5	
Gera (Kreisfreie Stadt)	Thüringen	93125	5634	195	60499	2093	27.1	93.8	
Jena (Kreisfreie Stadt)	Thüringen	111343	4311	74	38718	664	16.0	88.8	
Suhl (Kreisfreie Stadt)	Thüringen	36789	2151	110	58468	2990	12.5	62.5	
Weimar (Kreisfreie Stadt)	Thüringen	65228	2572	100	39430	1533	7.1	85.7	
Eisenach (Kreisfreie Stadt)	Thüringen	42250	1916	70	45349	1656	8.3	70.8	
Eichsfeld (Landkreis)	Thüringen	100006	6147	232	61466	2319	11.8	70.6	
Nordhausen (Landkreis)	Thüringen	83416	2872	69	34429	827	24.1	69.0	
Wartburgkreis (Landkreis)	Thüringen	118974	8156	232	68552	1950	6.7	80.0	
Unstrut-Hainich-Kreis (Landkreis)	Thüringen	102232	6219	244	60832	2386	0.0	88.2	
Kyffhäuserkreis (Landkreis)	Thüringen	74212	3595	135	48442	1819	0.0	100.0	
Schmalkalden-Meiningen (Landkreis)	Thüringen	124916	9843	360	78796	2881	9.5	71.4	
Gotha (Landkreis)	Thüringen	134908	8432	200	62501	1482	42.1	89.5	
Sömmerda (Landkreis)	Thüringen	69427	4086	127	58853	1829	16.7	66.7	
Hildburghausen (Landkreis)	Thüringen	63197	5200	237	82282	3750	50.0	100.0	23.7
Ilm-Kreis (Landkreis)	Thüringen	106249	6383	211	60075	1985	29.4	82.4	
Weimarer Land (Landkreis)	Thüringen	82156	4073	78	49576	949	15.5	92.9	
Sonneberg (Landkreis)	Thüringen	57717	4088	158	70828	2737	14.3	71.4	
Saalfeld-Rudolstadt (Landkreis)	Thüringen	103199	6676	276	64690	2674	36.4	68.2	
Saale-Holzland-Kreis (Landkreis)	Thüringen	82950	4693	117	56576	1410	28.6	100.0	
Saale-Orla-Kreis (Landkreis)	Thüringen	80312	6338	161	78917	2004	60.0	100.0	
Greiz (Landkreis)	Thüringen	97398	7779	209	79868	2145	40.0	100.0	
